category,context,question,response
RAG,"Hami esewa, khalti ra kunei pani mobile banking accept garxau. Cash on delivery pani available xa.",k baata pay garne? kun kun payment method xa? esewa accept garnu hunxa? COD xa?,"Tapai esewa, khalti wa kunei pani mobile bank baata pay garna saknu hunxa sathai Cash on Delivery pani accept xa."
RAG,"Hami sabai mobile banking service accept garxau, aba card baata pani pay garna milcha.",mobile banking le pay garna milcha? card le garna milcha?,Tapai afno mobile banking wa debit/credit card bata pay garna saknu hunxa.
RAG,Hamro Cash on Delivery service sabai thau ma available chhaina tara jahan available chha tyo check garna saknuhos.,cash on delivery available xa?,Tapai afno address ma Cash on Delivery available chha ki nai check garna saknu hunxa hamro website ko delivery options ma.
RAG,"Eswa ko sath-sathai khalti, mobile banking ra debit/credit card pani accept garxau.",esewa chhodera aru method xa?,"Tapai khalti, mobile banking wa debit/credit card baata pani payment garna saknu hunxa."
RAG,"Hami khalti accept garxau aba esewa, card ra mobile banking pani support garxau.",khalti le payment garna milcha?,Tapai khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Cash on Delivery option thikai thau ma available chha. Sabai product ma huda chhaina.,COD option xa ki nai?,Tapai le COD option available chha ki nai confirm garna website ma product details check garnu parcha.
RAG,"Hami esewa, khalti, ra aru major digital wallet accept garxau.",kun kun digital wallet chha?,"Tapai esewa, khalti ra aru major digital wallet baata payment garna saknu hunxa."
RAG,Hamro system le international debit/credit card pani support garxau.,international card le payment garna milcha?,Tapai le Visa ya MasterCard jasto international card baata payment garna saknu hunxa.
RAG,Hamro payment options ma aba bank transfer add bhako chha.,aba bank transfer accept garxau?,Tapai le bank transfer garera pani payment process garna saknu hunxa.
RAG,Hamro customer support team le payment problem solve garna madad garxau.,payment garna problem bhayo vane k garne?,Tapai le hamro customer support ma contact garna saknu hunxa for payment-related issues.
RAG,"Hami esewa, khalti ra kunei pani mobile banking accept garxau. Cash on delivery pani available xa.",k baata pay garne?,"Tapai esewa, khalti wa mobile banking bata pay garna saknu hunxa. Cash on delivery pani available chha."
RAG,"Hami esewa, khalti, mobile banking, ra card payment accept garxau.",kun kun payment method xa?,"Tapai le esewa, khalti, mobile banking, ya card ko maddat le payment garna saknu hunxa."
RAG,Hami esewa accept garxau ra aru payment options pani provide garxau.,esewa accept garnu hunxa?,Tapai le esewa bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami Cash on Delivery option provide garxau sabai product ko lagi available chhaina.,COD xa?,Tapai ko location ma COD available chha ki nai check garna hamro website ko delivery options hernuhos.
